[B] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0062s
[E] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0068s
[A] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0130s
[F] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0131s
[C] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0201s
[C] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0047s
[A] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0111s
[E] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0115s
[F] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0157s
[B] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0165s
[D] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0235s
[E] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0050s
[F] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0157s
[B] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0163s
[C] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0200s
[D] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0212s
[A] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0292s
[B] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0075s
[F] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0142s
[E] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0142s
[C] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0183s
[A] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0192s
[D] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0684s
[E] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0067s
[D] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0117s
[F] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0117s
[C] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0186s
[A] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0188s
[B] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0212s
[C] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0072s
[A] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0144s
[F] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0145s
[E] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0187s
[B] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0183s
[D] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0219s
[B] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0060s
[F] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0129s
[D] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0189s
[E] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0288s
[A] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0288s
[C] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0428s
[E] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0069s
[C] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0130s
[D] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0130s
[F] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0181s
[A] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0189s
[B] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0206s
[C] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0074s
[E] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0140s
[F] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0138s
[D] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0192s
[A] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0246s
[B] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0258s
[E] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0050s
[C] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0047s
[D] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0062s
[B] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0060s
[A] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0093s
[F] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0137s
[F] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0056s
[E] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0130s
[C] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0131s
[A] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0176s
[B] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0183s
[D] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0231s
[F] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0073s
[C] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0124s
[E] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0124s
[A] Received | Sender: [A] | Topic: chat | Message: ni hao! | Latency: 0.0167s
